Run ID,Type,Angle,Intensity
Skewed Gaussian 3,X Angle,-39.0909,126.644
Skewed Gaussian 3,X Angle,-37.2727,129.266
Skewed Gaussian 3,X Angle,-35.4545,131.769
Skewed Gaussian 3,X Angle,-33.6364,134.142
Skewed Gaussian 3,X Angle,-31.8182,136.378
Skewed Gaussian 3,X Angle,-30,138.467
Skewed Gaussian 3,X Angle,-28.1818,140.403
Skewed Gaussian 3,X Angle,-26.3636,142.178
Skewed Gaussian 3,X Angle,-24.5455,143.785
Skewed Gaussian 3,X Angle,-22.7273,145.218
Skewed Gaussian 3,X Angle,-20.9091,146.472
Skewed Gaussian 3,X Angle,-19.0909,147.541
Skewed Gaussian 3,X Angle,-17.2727,148.422
Skewed Gaussian 3,X Angle,-15.4545,149.11
Skewed Gaussian 3,X Angle,-13.6364,149.604
Skewed Gaussian 3,X Angle,-11.8182,149.901
Skewed Gaussian 3,X Angle,-10,150
Skewed Gaussian 3,X Angle,-8.18182,149.901
Skewed Gaussian 3,X Angle,-6.36364,149.604
Skewed Gaussian 3,X Angle,-4.54545,149.11
Skewed Gaussian 3,X Angle,-2.72727,148.422
Skewed Gaussian 3,X Angle,-0.909091,147.541
Skewed Gaussian 3,X Angle,0.909091,146.472
Skewed Gaussian 3,X Angle,2.72727,145.218
Skewed Gaussian 3,X Angle,4.54545,143.785
Skewed Gaussian 3,X Angle,6.36364,142.178
Skewed Gaussian 3,X Angle,8.18182,140.403
Skewed Gaussian 3,X Angle,10,138.467
Skewed Gaussian 3,X Angle,11.8182,136.378
Skewed Gaussian 3,X Angle,13.6364,134.142
Skewed Gaussian 3,X Angle,15.4545,131.769
Skewed Gaussian 3,X Angle,17.2727,129.266
Skewed Gaussian 3,X Angle,19.0909,126.644
Skewed Gaussian 3,X Angle,20.9091,123.911
Skewed Gaussian 3,X Angle,22.7273,121.076
Skewed Gaussian 3,X Angle,24.5455,118.15
Skewed Gaussian 3,X Angle,26.3636,115.143
Skewed Gaussian 3,X Angle,28.1818,112.063
Skewed Gaussian 3,X Angle,30,108.922
Skewed Gaussian 3,X Angle,31.8182,105.729
Skewed Gaussian 3,X Angle,33.6364,102.494
Skewed Gaussian 3,X Angle,35.4545,99.2272
Skewed Gaussian 3,X Angle,37.2727,95.9371
Skewed Gaussian 3,X Angle,39.0909,92.6336
Skewed Gaussian 3,X Angle,40.9091,89.3256
Skewed Gaussian 3,X Angle,42.7273,86.0219
Skewed Gaussian 3,X Angle,44.5455,82.731
Skewed Gaussian 3,X Angle,46.3636,79.4608
Skewed Gaussian 3,X Angle,48.1818,76.219
Skewed Gaussian 3,X Angle,50,73.0128
Skewed Gaussian 3,X Angle,51.8182,69.8491
Skewed Gaussian 3,X Angle,53.6364,66.7342
Skewed Gaussian 3,X Angle,55.4545,63.674
Skewed Gaussian 3,X Angle,57.2727,60.6738
Skewed Gaussian 3,X Angle,59.0909,57.7385
Skewed Gaussian 3,X Angle,60.9091,54.8727
Skewed Gaussian 3,X Angle,62.7273,52.0802
Skewed Gaussian 3,X Angle,64.5455,49.3644
Skewed Gaussian 3,X Angle,66.3636,46.7285
Skewed Gaussian 3,X Angle,68.1818,44.1749
Skewed Gaussian 3,X Angle,70,41.7056
Skewed Gaussian 3,X Angle,71.8182,39.3223
Skewed Gaussian 3,X Angle,73.6364,37.0262
Skewed Gaussian 3,X Angle,75.4545,34.8182
Skewed Gaussian 3,X Angle,77.2727,32.6985
Skewed Gaussian 3,X Angle,79.0909,30.6673
Skewed Gaussian 3,X Angle,80.9091,28.7243
Skewed Gaussian 3,X Angle,82.7273,26.8688
Skewed Gaussian 3,X Angle,84.5455,25.1
Skewed Gaussian 3,X Angle,86.3636,23.4166
Skewed Gaussian 3,X Angle,88.1818,21.8173
Skewed Gaussian 3,X Angle,90,20.3003
Skewed Gaussian,X Angle,-90,1.11E-85
Skewed Gaussian,X Angle,-88.1818,1.49E-82
Skewed Gaussian,X Angle,-86.3636,1.76E-79
Skewed Gaussian,X Angle,-84.5455,1.83E-76
Skewed Gaussian,X Angle,-82.7273,1.65E-73
Skewed Gaussian,X Angle,-80.9091,1.31E-70
Skewed Gaussian,X Angle,-79.0909,9.15E-68
Skewed Gaussian,X Angle,-77.2727,5.58E-65
Skewed Gaussian,X Angle,-75.4545,2.98E-62
Skewed Gaussian,X Angle,-73.6364,1.40E-59
Skewed Gaussian,X Angle,-71.8182,5.73E-57
Skewed Gaussian,X Angle,-70,2.06E-54
Skewed Gaussian,X Angle,-68.1818,6.48E-52
Skewed Gaussian,X Angle,-66.3636,1.79E-49
Skewed Gaussian,X Angle,-64.5455,4.32E-47
Skewed Gaussian,X Angle,-62.7273,9.15E-45
Skewed Gaussian,X Angle,-60.9091,1.70E-42
Skewed Gaussian,X Angle,-59.0909,2.76E-40
Skewed Gaussian,X Angle,-57.2727,3.93E-38
Skewed Gaussian,X Angle,-55.4545,4.90E-36
Skewed Gaussian,X Angle,-53.6364,5.36E-34
Skewed Gaussian,X Angle,-51.8182,5.13E-32
Skewed Gaussian,X Angle,-50,4.30E-30
Skewed Gaussian,X Angle,-48.1818,3.16E-28
Skewed Gaussian,X Angle,-46.3636,2.04E-26
Skewed Gaussian,X Angle,-44.5455,1.15E-24
Skewed Gaussian,X Angle,-42.7273,5.69E-23
Skewed Gaussian,X Angle,-40.9091,2.46E-21
Skewed Gaussian,X Angle,-39.0909,9.35E-20
Skewed Gaussian,X Angle,-37.2727,3.11E-18
Skewed Gaussian,X Angle,-35.4545,9.06E-17
Skewed Gaussian,X Angle,-33.6364,2.31E-15
Skewed Gaussian,X Angle,-31.8182,5.17E-14
Skewed Gaussian,X Angle,-30,1.01E-12
Skewed Gaussian,X Angle,-28.1818,1.74E-11
Skewed Gaussian,X Angle,-26.3636,2.62E-10
Skewed Gaussian,X Angle,-24.5455,3.45E-09
Skewed Gaussian,X Angle,-22.7273,3.98E-08
Skewed Gaussian,X Angle,-20.9091,4.03E-07
Skewed Gaussian,X Angle,-19.0909,3.57E-06
Skewed Gaussian,X Angle,-17.2727,2.77E-05
Skewed Gaussian,X Angle,-15.4545,0.000188455
Skewed Gaussian,X Angle,-13.6364,0.00112325
Skewed Gaussian,X Angle,-11.8182,0.00586569
Skewed Gaussian,X Angle,-10,0.026837
Skewed Gaussian,X Angle,-8.18182,0.107578
Skewed Gaussian,X Angle,-6.36364,0.377817
Skewed Gaussian,X Angle,-4.54545,1.16256
Skewed Gaussian,X Angle,-2.72727,3.13415
Skewed Gaussian,X Angle,-0.909091,7.40282
Skewed Gaussian,X Angle,0.909091,15.3196
Skewed Gaussian,X Angle,2.72727,27.7761
Skewed Gaussian,X Angle,4.54545,44.1232
Skewed Gaussian,X Angle,6.36364,61.4095
Skewed Gaussian,X Angle,8.18182,74.8818
Skewed Gaussian,X Angle,10,80
Skewed Gaussian,X Angle,11.8182,74.8818
Skewed Gaussian,X Angle,13.6364,61.4095
Skewed Gaussian,X Angle,15.4545,44.1232
Skewed Gaussian,X Angle,17.2727,27.7761
Skewed Gaussian,X Angle,19.0909,15.3196
Skewed Gaussian,X Angle,20.9091,7.40282
Skewed Gaussian,X Angle,22.7273,3.13415
Skewed Gaussian,X Angle,24.5455,1.16256
Skewed Gaussian,X Angle,26.3636,0.377817
Skewed Gaussian,X Angle,28.1818,0.107578
Skewed Gaussian,X Angle,30,0.026837
Skewed Gaussian,X Angle,31.8182,0.00586569
Skewed Gaussian,X Angle,33.6364,0.00112325
Skewed Gaussian,X Angle,35.4545,0.000188455
Skewed Gaussian,X Angle,37.2727,2.77E-05
Skewed Gaussian,X Angle,39.0909,3.57E-06
Skewed Gaussian,X Angle,40.9091,4.03E-07
Skewed Gaussian,X Angle,42.7273,3.98E-08
Skewed Gaussian,X Angle,44.5455,3.45E-09
Skewed Gaussian,X Angle,46.3636,2.62E-10
Skewed Gaussian,X Angle,48.1818,1.74E-11
Skewed Gaussian,X Angle,50,1.01E-12
Skewed Gaussian,X Angle,51.8182,5.17E-14
Skewed Gaussian,X Angle,53.6364,2.31E-15
Skewed Gaussian,X Angle,55.4545,9.06E-17
Skewed Gaussian,X Angle,57.2727,3.11E-18
Skewed Gaussian,X Angle,59.0909,9.35E-20
Skewed Gaussian,X Angle,60.9091,2.46E-21
Skewed Gaussian,X Angle,62.7273,5.69E-23
Skewed Gaussian,X Angle,64.5455,1.15E-24
Skewed Gaussian,X Angle,66.3636,2.04E-26
Skewed Gaussian,X Angle,68.1818,3.16E-28
Skewed Gaussian,X Angle,70,4.30E-30
Skewed Gaussian,X Angle,71.8182,5.13E-32
Skewed Gaussian,X Angle,73.6364,5.36E-34
Skewed Gaussian,X Angle,75.4545,4.90E-36
Skewed Gaussian,X Angle,77.2727,3.93E-38
Skewed Gaussian,X Angle,79.0909,2.76E-40
Skewed Gaussian,X Angle,80.9091,1.70E-42
Skewed Gaussian,X Angle,82.7273,9.15E-45
Skewed Gaussian,X Angle,84.5455,4.32E-47
Skewed Gaussian,X Angle,86.3636,1.79E-49
Skewed Gaussian,X Angle,88.1818,6.48E-52
Skewed Gaussian,X Angle,90,2.06E-54
Random Gaussian,X Angle,-90,48.5467
Random Gaussian,X Angle,-88.1818,49.6386
Random Gaussian,X Angle,-86.3636,50.7343
Random Gaussian,X Angle,-84.5455,51.8331
Random Gaussian,X Angle,-82.7273,52.9341
Random Gaussian,X Angle,-80.9091,54.0364
Random Gaussian,X Angle,-79.0909,55.1391
Random Gaussian,X Angle,-77.2727,56.2414
Random Gaussian,X Angle,-75.4545,57.3423
Random Gaussian,X Angle,-73.6364,58.441
Random Gaussian,X Angle,-71.8182,59.5363
Random Gaussian,X Angle,-70,60.6275
Random Gaussian,X Angle,-68.1818,61.7134
Random Gaussian,X Angle,-66.3636,62.7932
Random Gaussian,X Angle,-64.5455,63.8658
Random Gaussian,X Angle,-62.7273,64.9302
Random Gaussian,X Angle,-60.9091,65.9854
Random Gaussian,X Angle,-59.0909,67.0304
Random Gaussian,X Angle,-57.2727,68.0641
Random Gaussian,X Angle,-55.4545,69.0856
Random Gaussian,X Angle,-53.6364,70.0939
Random Gaussian,X Angle,-51.8182,71.0878
Random Gaussian,X Angle,-50,72.0664
Random Gaussian,X Angle,-48.1818,73.0286
Random Gaussian,X Angle,-46.3636,73.9735
Random Gaussian,X Angle,-44.5455,74.9001
